Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.2716,Sun Aug 05 22:16:36 +0000 2018,0.905,0.0,0.095,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @GodFriendedMe: “It’s incredibly important to us that we’re not a show that’s preachy or judgmental. Whether you believe or don’t believ…,186
-0.4973,Sun Aug 05 22:16:29 +0000 2018,0.867,0.133,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @GodFriendedMe: ""Our feet are on the ground. Our characters are not angels, they’re not heavenly, they’re just real people. The 'opposin…",187
0.0,Sun Aug 05 22:16:19 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @GodFriendedMe: Follow along with us as we live-tweet the #GodFriendedMe panel at #CBS #TCA18 with stars @hall_m_brandon @violettbeane @…,188
-0.4019,Sun Aug 05 22:05:44 +0000 2018,0.886,0.114,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @cbsallaccess: From the writer of Scream, The Vampire Diaries and The Following, comes a modern day twist on classic fairy tales. 

#Tel…",189
-0.6908,Sun Aug 05 22:00:47 +0000 2018,0.793,0.207,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @cbsallaccess: Small town. Big murder. Follow the Money. 

#OneDollar premieres August 30, exclusively on CBS All Access. https://t.co/T…",190
0.0,Sun Aug 05 21:48:41 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @cbsallaccess: That's a wrap on the #TellMeAStory panel! @GodFriendedMe is up next! #TCA18 #CBSAllAccess,191
0.8555,Sun Aug 05 21:48:36 +0000 2018,0.714,0.0,0.286,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @cbsallaccess: ""What I love about New York City - besides being the best city in the world - it's textural, it's real, it has everything…",192
0.5994,Sun Aug 05 21:48:29 +0000 2018,0.766,0.0,0.234,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @cbsallaccess: Who's ready to see @KimCattrall play @daniellemcam's (AKA Little Red Riding Hood) grandmother? #TellMeAStory #TCA18 #CBSA…,193
0.6124,Sun Aug 05 21:31:15 +0000 2018,0.792,0.0,0.208,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @cbsallaccess: ""What I like about this show is that there's nothing else on TV like it right now."" -@kevwilliamson #TellMeAStory #TCA18…",194
-0.2748,Sun Aug 05 20:58:52 +0000 2018,0.742,0.153,0.105,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MurphyBrownCBS: According to Candice Bergen and Diane English, there's never been a more perfect time to revive #MurphyBrown! https://t…",195
0.0,Sun Aug 05 20:56:17 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @MurphyBrownCBS: #MurphyBrown has always been a political show, and that won't change! Read on about how the show plans to cover hot top…",196
-0.4588,Sun Aug 05 20:10:33 +0000 2018,0.875,0.125,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @FBICBS: ""People are going to get a very realistic view of how that office operates and the stresses. It's a zero-tolerance FBI office.…",197
0.0,Sun Aug 05 19:43:38 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Stay tuned for more #CBS #TCA18 action! The @cbsallaccess panel is up next. 👍🏼 https://t.co/fcjiEwpaN0,198
0.0,Sun Aug 05 19:22:22 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @FBICBS: #FBIFam, this should cure your #SundayScaries! Check out the #FBI preview that was shown at the #CBS #TCA18 before the panel. h…",199
0.4939,Mon Sep 17 19:58:14 +0000 2018,0.862,0.0,0.138,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Trump praised Brett Kavanaugh as ""one of the finest people I have ever known"" in his 1st public comments since the… https://t.co/rwcjYCYBVo",200
0.0,Mon Sep 17 19:41:03 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Corporate America is spending more on buybacks than anything else https://t.co/3OcWdxvDAF https://t.co/hUNp9YXEQN,201
0.5574,Mon Sep 17 19:37:21 +0000 2018,0.769,0.0,0.231,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",These senators could make or break Brett Kavanaugh's Supreme Court nomination https://t.co/c4LqVdNngO https://t.co/NtgTnRUyav,202
-0.4767,Mon Sep 17 19:21:31 +0000 2018,0.796,0.204,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Vernon Unsworth, a caver accused by Elon Musk of being a pedophile, has filed a defamation lawsuit against the Tesl… https://t.co/aL50R2tgH4",203
0.6486,Mon Sep 17 19:10:34 +0000 2018,0.623,0.086,0.292,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","US Ambassador to the United Nations Nikki Haley accused Russia of ""cheating"" and acting like a ""virus"" by helping N… https://t.co/lbssWyG8de",204
-0.8957,Mon Sep 17 19:05:12 +0000 2018,0.565,0.435,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","A female aid worker abducted in Nigeria's troubled northeast region has been killed, the International Committee of… https://t.co/IXKrPun1wA",205
-0.7717,Mon Sep 17 19:03:19 +0000 2018,0.705,0.295,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","If not for a would-be victim's quick thinking, a supervisory Border Patrol agent accused in a string of killings in… https://t.co/48TjOcsGuv",206
0.4019,Mon Sep 17 18:43:45 +0000 2018,0.891,0.0,0.109,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",The plan could boost the stock price from about 2 cents to as much as $10 — enough to possibly keep the stock tradi… https://t.co/p5KzLoEoJH,207
0.3182,Mon Sep 17 18:39:10 +0000 2018,0.881,0.0,0.119,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Executives at MoviePass' parent company are asking shareholders to vote on a plan that could increase the company's… https://t.co/dp4Di4vOYn,208
0.0,Mon Sep 17 18:30:07 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",There have been more than 500 reports of price gouging in North Carolina after Florence https://t.co/OZvVeq3jpX https://t.co/SHSacdL2up,209
-0.4019,Mon Sep 17 18:20:07 +0000 2018,0.847,0.153,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","More than 9,000 US children are injured by infant walkers every year, study finds https://t.co/JpFeYhDv3u https://t.co/nLS4HgDSHD",210
0.0,Mon Sep 17 18:10:04 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The Australian government has ordered a federal investigation into the contamination of strawberries with needles a… https://t.co/6ZiZW5q7qw,211
0.0,Mon Sep 17 18:00:18 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Nearly 1 in 11 middle and high school students in the US has used cannabis in an e-cigarette, according to a new re… https://t.co/sON8jMXxpz",212
-0.3612,Mon Sep 17 17:50:07 +0000 2018,0.857,0.143,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Multi-surface cleaners and other commonly used household disinfectants could be making children overweight by alter… https://t.co/zszB2MuLDH,213
-0.0258,Mon Sep 17 17:40:06 +0000 2018,0.8,0.102,0.098,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",They watched their homes get ripped apart and the government struggle to restore water and power. A year after Hurr… https://t.co/gJTbjSjkmK,214
0.0,Mon Sep 17 17:30:09 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Jaguar Land Rover has put 1,000 workers at one of its UK plants on a three-day work week because of plummeting dies… https://t.co/1xLTHeewzt",215
-0.4019,Mon Sep 17 17:20:06 +0000 2018,0.847,0.153,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","More than 9,000 US children are injured by infant walkers every year, study finds https://t.co/kLbQTHxmlw https://t.co/x3CdR7ZjLp",216
0.0,Mon Sep 17 17:10:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",There have been more than 500 reports of price gouging in North Carolina after Florence https://t.co/ch176tp29f https://t.co/rxeDVzEjLU,217
-0.3612,Mon Sep 17 17:00:17 +0000 2018,0.857,0.143,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Multi-surface cleaners and other commonly used household disinfectants could be making children overweight by alter… https://t.co/Qo4aCdi1YN,218
0.0,Mon Sep 17 16:50:10 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Scientists believe they have discovered the first examples of air pollution traveling through the bloodstream of pr… https://t.co/jAVHD7SRjX,219
0.4939,Mon Sep 17 19:58:14 +0000 2018,0.862,0.0,0.138,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Trump praised Brett Kavanaugh as ""one of the finest people I have ever known"" in his 1st public comments since the… https://t.co/rwcjYCYBVo",220
